specie,family,orden
Adelomyia melanogenys,Trochilidae,Apodiformes
Amazilia amabilis,Trochilidae,Apodiformes
Amazilia tzacatl,Trochilidae,Apodiformes
Anisognathus igniventris,Thraupidae,Passeriformes
Ammodramus aurifrons,Passerellidae,Passeriformes
Arremon aurantirostris,Passerellidae,Passeriformes
Arremon brunneinucha,Passerellidae,Passeriformes
Arremon brunneinucha,Passerellidae,Passeriformes
Arremon castaneiceps,Passerellidae,Passeriformes
Arremon taciturnus,Passerellidae,Passeriformes
Arremon torquatus,Passerellidae,Passeriformes
Arremon castaneiceps,Passerellidae,Passeriformes
Atlapetes sp.,Passerellidae,Passeriformes
Atlapetes atricapillus,Passerellidae,Passeriformes
Atlapetes latinuchus,Passerellidae,Passeriformes
Atlapetes melanolaemus,Passerellidae,Passeriformes
Atlapetes rufinucha,Passerellidae,Passeriformes
Atlapetes tricolor,Passerellidae,Passeriformes
Atlapetes melanolaemus,Passerellidae,Passeriformes
Atlapetes rufinucha,Passerellidae,Passeriformes
Atlapetes melanolaemus,Passerellidae,Passeriformes
Atlapetes rufinucha,Passerellidae,Passeriformes
Attila spadiceus,Tyrannidae,Passeriformes
Automolus ochrolaemus,Furnariidae,Passeriformes
Basileuterus chrysogaster,Parulidae,Passeriformes
Myiothlypis fulvicauda,Parulidae,Passeriformes
Basileuterus sp.,Parulidae,Passeriformes
Basileuterus tristriatus,Parulidae,Passeriformes
Basileuterus chrysogaster,Parulidae,Passeriformes
Buthraupis montana,Thraupidae,Passeriformes
Chalcostigma ruficeps,Trochilidae,Apodiformes
Campylopterus largipennis,Trochilidae,Apodiformes
Cantorchilus nigricapillus,Troglodytidae,Passeriformes
Catharus dryas,Turdidae,Passeriformes
Cercomacra serva,Thamnophilidae,Passeriformes
Chalcostigma ruficeps,Trochilidae,Apodiformes
Chalybura buffonii,Trochilidae,Apodiformes
Chalybura urochrysia,Trochilidae,Apodiformes
Chamaepetes goudotii,Cracidae,Galliformes
Catharus dryas,Turdidae,Passeriformes
Chlorochrysa calliparae,Thraupidae,Passeriformes
Chlorophonia cyanea,Fringillidae,Passeriformes
Chlorophonia pyrrhophrys,Fringillidae,Passeriformes
Chlorornis riefferii,Thraupidae,Passeriformes
Chlorospingus flavigularis,Passerellidae,Passeriformes
Chlorospingus sp.,Passerellidae,Passeriformes
Chlorostilbon mellisugus,Trochilidae,Apodiformes
Chlorothraupis carmioli,Cardinalidae,Passeriformes
Chlorothraupis stolzmanni,Cardinalidae,Passeriformes
Chlorothraupis carmioli,Cardinalidae,Passeriformes
Cyphorhinus aradus,Troglodytidae,Passeriformes
Coeligena coeligena,Trochilidae,Apodiformes
Coeligena torquata,Trochilidae,Apodiformes
Coeligena wilsoni,Trochilidae,Apodiformes
Colibri sp.,Trochilidae,Apodiformes
Conopophaga ardesiaca,Conopophagidae,Passeriformes
Conopophaga peruviana,Conopophagidae,Passeriformes
Conopophaga ardesiaca,Conopophagidae,Passeriformes
Conopophaga peruviana,Conopophagidae,Passeriformes
Corythopis torquatus,Pipridae,Passeriformes
Cryptopipo holochlora,Pipridae,Passeriformes
Crypturellus bartletti,Tinamidae,Tinamiformes
Cyanerpes caeruleus,Thraupidae,Passeriformes
Cinclodes leucocephalus,Furnariidae,Passeriformes
Cyphorhinus aradus,Troglodytidae,Passeriformes
Cyphorhinus thoracicus,Troglodytidae,Passeriformes
Deconychura longicauda,Furnariidae,Passeriformes
Dendrocincla fuliginosa,Furnariidae,Passeriformes
Diglossa albilatera,Thraupidae,Passeriformes
Diglossa caerulescens,Thraupidae,Passeriformes
Diglossopis indigotica,Thraupidae,Passeriformes
Diglossa mystacalis,Thraupidae,Passeriformes
Doryfera ludoviciae,Trochilidae,Apodiformes
Doryfera johannae,Trochilidae,Apodiformes
Doryfera ludoviciae,Trochilidae,Apodiformes
Doryfera ludoviciae,Trochilidae,Apodiformes
Epinecrophylla erythrura,Thamnophilidae,Passeriformes
Epinecrophylla sp.,Thamnophilidae,Passeriformes
Euphonia xanthogaster,Fringillidae,Passeriformes
Florisuga mellivora,Trochilidae,Apodiformes
Formicarius analis,Formicariidae,Passeriformes
Frederickena unduliger,Thamnophilidae,Passeriformes
Galbula cyanescens,Galbulidae,Piciformes
Geotrygon montana,Columbidae,Columbiformes
Glaucis hirsutus,Trochilidae,Apodiformes
Glyphorynchus spirurus,Furnariidae,Passeriformes
Gymnopithys salvini,Thamnophilidae,Passeriformes
Heliodoxa jacula,Trochilidae,Apodiformes
Hylophilus ochraceiceps,Vireonidae,Passeriformes
Hylophylax naevius,Thamnophilidae,Passeriformes
Iridosornis porphyrocephalus,Thraupidae,Passeriformes
Tachyphonus versicolor,Thraupidae,Passeriformes
Lepidothrix coeruleocapilla,Pipridae,Passeriformes
Lepidothrix coronata,Pipridae,Passeriformes
Leptopogon amaurocephalus,Tyrannidae,Passeriformes
Leptotila rufaxilla,Columbidae,Columbiformes
Leptopogon amaurocephalus,Tyrannidae,Passeriformes
Manacus manacus,Pipridae,Passeriformes
Microbates cinereiventris,Polioptilidae,Passeriformes
Mionectes macconnelli,Tyrannidae,Passeriformes
Mionectes oleagineus,Tyrannidae,Passeriformes
Myiobius barbatus,Tityridae,Passeriformes
Myiothlypis flaveola,Parulidae,Passeriformes
Myrmotherula axillaris,Thamnophilidae,Passeriformes
Nyctiphrynus ocellatus,Caprimulgidae,Caprimulgiformes
Onychorhynchus coronatus,Tityridae,Passeriformes
Ortalis guttata,Cracidae,Galliformes
Percnostola leucostigma,Thamnophilidae,Passeriformes
Myiothlypis fulvicauda,Parulidae,Passeriformes
Phaethornis hispidus,Trochilidae,Apodiformes
Chloropipo chloromerus,Pipridae,Passeriformes
Ramphotrigon ruficauda,Tyrannidae,Passeriformes
Myrmelastes brunneiceps,Thamnophilidae,Passeriformes
Stilpnia cyanoptera,Thraupidae,Passeriformes
Thalurania furcata,Trochilidae,Apodiformes
Thamnomanes schistogynus,Thamnophilidae,Passeriformes
Thamnophilus schistaceus,Thamnophilidae,Passeriformes
Threnetes leucurus,Trochilidae,Apodiformes
Threnetes ruckeri,Trochilidae,Apodiformes
Todirostrum cinereum,Tyrannidae,Passeriformes
Turdus albicollis,Turdidae,Passeriformes
Xenopipo holochlora,Pipridae,Passeriformes
